"datum","gemeinde","bfs_nummer","einwohnerzahl","7_d_inzidenz"
"25.11.2021","Aarberg","301","4628","561.8"
"25.11.2021","Aarwangen","321","4561","328.88"
"25.11.2021","Adelboden","561","3390","707.96"
"25.11.2021","Aefligen","401","1090","275.23"
"25.11.2021","Aegerten","731","2159","463.18"
"25.11.2021","Aeschi bei Spiez","562","2217","947.23"
"25.11.2021","Affoltern im Emmental","951","1101","817.44"
"25.11.2021","Alchenstorf","402","575","695.65"
"25.11.2021","Allmendingen","630","590","0"
"25.11.2021","Amsoldingen","921","812","1847.29"
"25.11.2021","Arch","381","1594","627.35"
"25.11.2021","Arni (BE)","602","928","323.28"
"25.11.2021","Attiswil","971","1505","2126.25"
"25.11.2021","Bannwil","323","669","1046.34"
"25.11.2021","Bargen (BE)","302","999","300.3"
"25.11.2021","Beatenberg","571","1195","167.36"
"25.11.2021","Bellmund","732","1689","177.62"
"25.11.2021","Belp","861","11510","399.65"
"25.11.2021","Bern","351","133883","457.86"
"25.11.2021","Bettenhausen","973","631","0"
"25.11.2021","Biel/Bienne","371","55159","375.28"
"25.11.2021","Biglen","603","1815","495.87"
"25.11.2021","Bleienbach","324","697","430.42"
"25.11.2021","Blumenstein","922","1246","1524.88"
"25.11.2021","Bolligen","352","6264","415.07"
"25.11.2021","Boltigen","791","1263","554.24"
"25.11.2021","Bowil","605","1373","655.5"
"25.11.2021","Bremgarten bei Bern","353","4387","159.56"
"25.11.2021","Brienz (BE)","573","3092","388.1"
"25.11.2021","Brügg","733","4390","159.45"
"25.11.2021","Brüttelen","491","578","0"
"25.11.2021","Buchholterberg","923","1527","1899.15"
"25.11.2021","Burgdorf","404","16420","274.06"
"25.11.2021","Burgistein","863","1096","1916.06"
"25.11.2021","Bäriswil","403","1062","941.62"
"25.11.2021","Bätterkinden","533","3250","430.77"
"25.11.2021","Bönigen","572","2536","354.89"
"25.11.2021","Büetigen","382","870","229.89"
"25.11.2021","Büren an der Aare","383","3583","55.82"
"25.11.2021","Corgémont","431","1706","410.32"
"25.11.2021","Cortébert","433","705","283.69"
"25.11.2021","Court","690","1420","0"
"25.11.2021","Courtelary","434","1438","139.08"
"25.11.2021","Crémines","691","509","1375.25"
"25.11.2021","Diemtigen","762","2250","1155.56"
"25.11.2021","Diessbach bei Büren","385","989","303.34"
"25.11.2021","Dotzigen","386","1461","273.79"
"25.11.2021","Därstetten","761","849","824.5"
"25.11.2021","Dürrenroth","952","1061","377"
"25.11.2021","Eggiwil","901","2440","983.61"
"25.11.2021","Eriswil","953","1396","214.9"
"25.11.2021","Erlach","492","1385","1877.26"
"25.11.2021","Erlenbach im Simmental","763","1746","1603.67"
"25.11.2021","Ersigen","405","2068","386.85"
"25.11.2021","Evilard","372","2674","186.99"
"25.11.2021","Fahrni","925","809","2472.19"
"25.11.2021","Ferenbalm","662","1260","476.19"
"25.11.2021","Finsterhennen","493","571","1050.79"
"25.11.2021","Forst-Längenbühl","948","765","1307.19"
"25.11.2021","Fraubrunnen","538","5113","332.49"
"25.11.2021","Frauenkappelen","663","1240","725.81"
"25.11.2021","Frutigen","563","6923","982.23"
"25.11.2021","Gals","494","827","846.43"
"25.11.2021","Gampelen","495","963","0"
"25.11.2021","Gerzensee","866","1215","2798.35"
"25.11.2021","Gondiswil","326","730","684.93"
"25.11.2021","Grindelwald","576","3802","604.94"
"25.11.2021","Grossaffoltern","303","3018","828.36"
"25.11.2021","Grosshöchstetten","608","4166","984.16"
"25.11.2021","Gsteig","841","978","818"
"25.11.2021","Guggisberg","852","1508","663.13"
"25.11.2021","Gurzelen","867","840","1904.76"
"25.11.2021","Habkern","579","639","1251.96"
"25.11.2021","Hasle bei Burgdorf","406","3286","456.48"
"25.11.2021","Hasliberg","783","1164","343.64"
"25.11.2021","Heiligenschwendi","927","703","711.24"
"25.11.2021","Heimberg","928","6832","512.3"
"25.11.2021","Heimenhausen","977","1143","349.96"
"25.11.2021","Heimiswil","407","1621","123.38"
"25.11.2021","Herbligen","610","603","165.84"
"25.11.2021","Herzogenbuchsee","979","7200","361.11"
"25.11.2021","Hilterfingen","929","4047","1433.16"
"25.11.2021","Hindelbank","409","2496","480.77"
"25.11.2021","Hofstetten bei Brienz","580","518","0"
"25.11.2021","Homberg","931","509","1375.25"
"25.11.2021","Huttwil","954","4898","571.66"
"25.11.2021","Inkwil","980","626","159.74"
"25.11.2021","Innertkirchen","784","1063","658.51"
"25.11.2021","Ins","496","3564","645.34"
"25.11.2021","Interlaken","581","5610","303.03"
"25.11.2021","Ipsach","739","3987","200.65"
"25.11.2021","Ittigen","362","11351","616.69"
"25.11.2021","Jegenstorf","540","5746","382.88"
"25.11.2021","Jens","738","659","151.75"
"25.11.2021","Kallnach","304","2222","180.02"
"25.11.2021","Kandergrund","564","805","869.57"
"25.11.2021","Kandersteg","565","1298","539.29"
"25.11.2021","Kappelen","305","1419","493.31"
"25.11.2021","Kaufdorf","869","1089","1285.58"
"25.11.2021","Kehrsatz","870","4305","185.83"
"25.11.2021","Kernenried","411","553","0"
"25.11.2021","Kiesen","611","1001","799.2"
"25.11.2021","Kirchberg (BE)","412","5965","519.7"
"25.11.2021","Kirchdorf (BE)","872","1843","922.41"
"25.11.2021","Kirchlindach","354","3160","506.33"
"25.11.2021","Konolfingen","612","5283","586.79"
"25.11.2021","Koppigen","413","2095","429.59"
"25.11.2021","Krattigen","566","1132","441.7"
"25.11.2021","Krauchthal","414","2366","169.06"
"25.11.2021","Köniz","355","41784","526.52"
"25.11.2021","La Ferrière","435","534","374.53"
"25.11.2021","La Neuveville","723","3739","374.43"
"25.11.2021","Landiswil","613","625","2240"
"25.11.2021","Langenthal","329","15624","492.83"
"25.11.2021","Langnau im Emmental","902","9380","1226.01"
"25.11.2021","Lauenen","842","827","241.84"
"25.11.2021","Laupen","667","3136","414.54"
"25.11.2021","Lauperswil","903","2615","76.48"
"25.11.2021","Lauterbrunnen","584","2290","349.34"
"25.11.2021","Leissigen","585","1123","356.19"
"25.11.2021","Lengnau (BE)","387","5254","285.5"
"25.11.2021","Lenk","792","2345","298.51"
"25.11.2021","Leuzigen","388","1259","556"
"25.11.2021","Ligerz","740","544","367.65"
"25.11.2021","Linden","614","1298","693.37"
"25.11.2021","Lotzwil","331","2565","506.82"
"25.11.2021","Lyss","306","15282","314.1"
"25.11.2021","Lyssach","415","1446","414.94"
"25.11.2021","Lüscherz","497","560","892.86"
"25.11.2021","Lützelflüh","955","4147","482.28"
"25.11.2021","Madiswil","332","3279","487.95"
"25.11.2021","Matten bei Interlaken","587","4103","194.98"
"25.11.2021","Mattstetten","543","561","0"
"25.11.2021","Meikirch","307","2461","365.7"
"25.11.2021","Meinisberg","390","1303","76.75"
"25.11.2021","Meiringen","785","4622","670.71"
"25.11.2021","Melchnau","333","1517","725.12"
"25.11.2021","Mirchel","615","624","801.28"
"25.11.2021","Moosseedorf","544","4111","437.85"
"25.11.2021","Moutier","700","7384","799.02"
"25.11.2021","Muri bei Bern","356","13054","643.48"
"25.11.2021","Mörigen","742","879","113.77"
"25.11.2021","Mühleberg","668","2986","803.75"
"25.11.2021","Münchenbuchsee","546","10213","244.79"
"25.11.2021","Münchenwiler","669","522","574.71"
"25.11.2021","Münsingen","616","12724","534.42"
"25.11.2021","Müntschemier","498","1406","213.37"
"25.11.2021","Neuenegg","670","5541","288.76"
"25.11.2021","Nidau","743","6823","410.38"
"25.11.2021","Niederbipp","981","4899","285.77"
"25.11.2021","Niederhünigen","617","644","310.56"
"25.11.2021","Niedermuhlern","877","501","2195.61"
"25.11.2021","Niederönz","982","1670","299.4"
"25.11.2021","Nods","724","765","261.44"
"25.11.2021","Oberbalm","357","853","2579.13"
"25.11.2021","Oberbipp","983","1767","339.56"
"25.11.2021","Oberburg","418","2937","646.92"
"25.11.2021","Oberdiessbach","619","3527","737.17"
"25.11.2021","Oberhofen am Thunersee","934","2413","331.54"
"25.11.2021","Oberthal","620","727","137.55"
"25.11.2021","Oberwil bei Büren","391","875","342.86"
"25.11.2021","Oberwil im Simmental","766","808","2599.01"
"25.11.2021","Ochlenberg","985","570","175.44"
"25.11.2021","Oppligen","622","650","769.23"
"25.11.2021","Orpund","744","2800","142.86"
"25.11.2021","Orvin","438","1225","653.06"
"25.11.2021","Ostermundigen","363","17751","354.91"
"25.11.2021","Pieterlen","392","4364","137.49"
"25.11.2021","Plateau de Diesse","726","2048","244.14"
"25.11.2021","Port","745","3695","351.83"
"25.11.2021","Péry-La Heutte","450","1901","0"
"25.11.2021","Radelfingen","309","1285","544.75"
"25.11.2021","Rapperswil (BE)","310","2618","1069.52"
"25.11.2021","Reconvilier","703","2317","215.8"
"25.11.2021","Reichenbach im Kandertal","567","3608","1219.51"
"25.11.2021","Renan (BE)","441","928","969.83"
"25.11.2021","Reutigen","767","999","700.7"
"25.11.2021","Riggisberg","879","2554","1174.63"
"25.11.2021","Ringgenberg (BE)","590","2562","234.19"
"25.11.2021","Roggwil (BE)","337","4083","685.77"
"25.11.2021","Rohrbach","338","1480","202.7"
