"datum","personen_in_quarantaene","personen_in_isolation"
"20.06.2021","561","135"
"19.06.2021","844","162"
"18.06.2021","1071","194"
"17.06.2021","1036","211"
"16.06.2021","1082","222"
"15.06.2021","1126","238"
"14.06.2021","1492","265"
"13.06.2021","1488","301"
"12.06.2021","1460","324"
"11.06.2021","1608","328"
"10.06.2021","1513","332"
"09.06.2021","1531","344"
"08.06.2021","1448","335"
"07.06.2021","1426","355"
"06.06.2021","1429","397"
"05.06.2021","1771","467"
"04.06.2021","2140","524"
"03.06.2021","2155","551"
"02.06.2021","2108","582"
"01.06.2021","2013","617"
"31.05.2021","1838","658"
"30.05.2021","1838","688"
"29.05.2021","1878","753"
"28.05.2021","2682","812"
"27.05.2021","2585","870"
"26.05.2021","2607","892"
"25.05.2021","2549","904"
"24.05.2021","2583","907"
"23.05.2021","2492","968"
"22.05.2021","2640","1060"
"21.05.2021","2649","1094"
"20.05.2021","2530","1098"
"19.05.2021","2866","1069"
"18.05.2021","2734","1033"
"17.05.2021","2586","966"
"16.05.2021","2452","1004"
"15.05.2021","2526","1124"
"14.05.2021","2792","1152"
"13.05.2021","2797","1244"
"12.05.2021","3318","1233"
"11.05.2021","3133","1193"
"10.05.2021","3084","1195"
"09.05.2021","3128","1228"
"08.05.2021","3138","1244"
"07.05.2021","3080","1286"
"06.05.2021","2998","1324"
"05.05.2021","2780","1296"
"04.05.2021","2514","1255"
"03.05.2021","2702","1289"
"02.05.2021","2574","1330"
"01.05.2021","2729","1432"
"30.04.2021","2723","1513"
"29.04.2021","2651","1553"
"28.04.2021","2703","1510"
"27.04.2021","2440","1525"
"26.04.2021","2144","1433"
"25.04.2021","2346","1391"
"24.04.2021","2382","1505"
"23.04.2021","2507","1557"
"22.04.2021","2394","1532"
"21.04.2021","2939","1464"
"20.04.2021","2697","1465"
"19.04.2021","2661","1410"
"18.04.2021","2773","1422"
"17.04.2021","2806","1515"
"16.04.2021","3221","1594"
"15.04.2021","3195","1577"
"14.04.2021","2926","1548"
"13.04.2021","2648","1464"
"12.04.2021","0","0"
"11.04.2021","0","0"
"10.04.2021","0","0"
"09.04.2021","0","0"
"08.04.2021","3014","1422"
"07.04.2021","2941","1318"
"06.04.2021","2621","1232"
"05.04.2021","2431","1273"
"04.04.2021","2478","1338"
"03.04.2021","2565","1396"
"02.04.2021","2686","1452"
"01.04.2021","2650","1474"
"31.03.2021","2520","1409"
"30.03.2021","0","0"
"29.03.2021","2226","1244"
"28.03.2021","2464","1217"
"27.03.2021","2653","1259"
"26.03.2021","2614","1226"
"25.03.2021","2700","1183"
"24.03.2021","2327","1052"
"23.03.2021","2146","986"
"22.03.2021","2036","905"
"21.03.2021","2002","899"
"20.03.2021","1931","953"
"19.03.2021","1881","959"
"18.03.2021","2021","921"
"17.03.2021","1947","852"
"16.03.2021","1869","802"
"15.03.2021","2060","767"
"14.03.2021","2058","751"
"13.03.2021","2145","774"
"12.03.2021","2234","787"
"11.03.2021","2411","794"
"10.03.2021","2221","771"
"09.03.2021","1963","738"
"08.03.2021","2157","724"
"07.03.2021","2107","759"
"06.03.2021","2015","840"
"05.03.2021","1997","866"
"04.03.2021","2152","863"
"03.03.2021","2219","836"
"02.03.2021","2005","810"
"01.03.2021","1842","757"
"28.02.2021","1878","780"
"27.02.2021","1812","816"
"26.02.2021","1803","809"
"25.02.2021","1710","784"
"24.02.2021","1609","757"
"23.02.2021","1494","720"
"22.02.2021","1496","692"
"21.02.2021","1472","737"
"20.02.2021","1618","802"
"19.02.2021","1843","862"
"18.02.2021","1970","939"
"17.02.2021","2184","943"
"16.02.2021","2162","951"
"15.02.2021","2537","981"
"14.02.2021","2692","1024"
"13.02.2021","2812","1077"
"12.02.2021","2793","1125"
"11.02.2021","2716","1182"
"10.02.2021","2270","1197"
"09.02.2021","2212","1137"
"08.02.2021","2354","1077"
"07.02.2021","2454","1103"
"06.02.2021","2550","1216"
"05.02.2021","2581","1270"
"04.02.2021","2603","1331"
"03.02.2021","2579","1318"
"02.02.2021","2501","1339"
"01.02.2021","2628","1293"
"31.01.2021","2660","1290"
"30.01.2021","2861","1419"
"29.01.2021","2902","1532"
"28.01.2021","2880","1535"
"27.01.2021","2412","1587"
"26.01.2021","2534","1430"
"25.01.2021","0","0"
"24.01.2021","0","0"
"23.01.2021","0","0"
"22.01.2021","3151","1853"
"21.01.2021","3396","1896"
"20.01.2021","3548","1960"
"19.01.2021","3558","1914"
"18.01.2021","3772","1951"
"17.01.2021","3967","2018"
"16.01.2021","3996","2201"
"15.01.2021","4000","2359"
"14.01.2021","4029","2588"
"13.01.2021","4162","2525"
"12.01.2021","4314","2619"
"11.01.2021","4161","2643"
"10.01.2021","4325","2697"
"09.01.2021","4389","2896"
"08.01.2021","4470","3020"
"07.01.2021","4467","3114"
"06.01.2021","4523","3135"
"05.01.2021","4567","3086"
"04.01.2021","4593","2939"
"03.01.2021","4759","2971"
"02.01.2021","4931","3072"
"01.01.2021","5066","3325"
"31.12.2020","5051","3525"
"30.12.2020","5211","3435"
"29.12.2020","5077","3353"
"28.12.2020","5206","3357"
"27.12.2020","5029","3462"
"26.12.2020","5473","3700"
"25.12.2020","5917","4023"
"24.12.2020","6134","4183"
"23.12.2020","6260","4344"
"22.12.2020","6312","4244"
