"jahr","kw","alterskategegorie","anzahl_falleingaenge"
"2022","5","0-9","1195"
"2022","5","10-19","1641"
"2022","5","100+","2"
"2022","5","20-29","1278"
"2022","5","30-39","1770"
"2022","5","40-49","1532"
"2022","5","50-59","957"
"2022","5","60-69","533"
"2022","5","70-79","199"
"2022","5","80-89","102"
"2022","5","90-99","39"
"2022","4","#null","8"
"2022","4","0-9","3963"
"2022","4","10-19","4902"
"2022","4","100+","2"
"2022","4","20-29","4167"
"2022","4","30-39","5700"
"2022","4","40-49","4729"
"2022","4","50-59","2911"
"2022","4","60-69","1556"
"2022","4","70-79","589"
"2022","4","80-89","219"
"2022","4","90-99","83"
"2022","3","#null","4"
"2022","3","0-9","2856"
"2022","3","10-19","4337"
"2022","3","100+","7"
"2022","3","20-29","3736"
"2022","3","30-39","4565"
"2022","3","40-49","3821"
"2022","3","50-59","2711"
"2022","3","60-69","1249"
"2022","3","70-79","444"
"2022","3","80-89","186"
"2022","3","90-99","66"
"2022","2","#null","4"
"2022","2","0-9","1469"
"2022","2","10-19","3032"
"2022","2","100+","2"
"2022","2","20-29","3822"
"2022","2","30-39","3402"
"2022","2","40-49","2920"
"2022","2","50-59","2252"
"2022","2","60-69","986"
"2022","2","70-79","383"
"2022","2","80-89","170"
"2022","2","90-99","53"
"2022","1","#null","5"
"2022","1","0-9","754"
"2022","1","10-19","2492"
"2022","1","100+","3"
"2022","1","20-29","4377"
"2022","1","30-39","2997"
"2022","1","40-49","2243"
"2022","1","50-59","1997"
"2022","1","60-69","897"
"2022","1","70-79","357"
"2022","1","80-89","150"
"2022","1","90-99","45"
"2021","52","#null","3"
"2021","52","0-9","522"
"2021","52","10-19","1050"
"2021","52","100+","1"
"2021","52","20-29","1984"
"2021","52","30-39","1856"
"2021","52","40-49","1363"
"2021","52","50-59","1301"
"2021","52","60-69","598"
"2021","52","70-79","276"
"2021","52","80-89","102"
"2021","52","90-99","30"
"2021","51","#null","1"
"2021","51","0-9","668"
"2021","51","10-19","870"
"2021","51","100+","1"
"2021","51","20-29","1152"
"2021","51","30-39","1197"
"2021","51","40-49","1062"
"2021","51","50-59","762"
"2021","51","60-69","427"
"2021","51","70-79","173"
"2021","51","80-89","87"
"2021","51","90-99","35"
"2021","50","#null","2"
"2021","50","0-9","1005"
"2021","50","10-19","1104"
"2021","50","100+","5"
"2021","50","20-29","806"
"2021","50","30-39","1120"
"2021","50","40-49","1079"
"2021","50","50-59","797"
"2021","50","60-69","409"
"2021","50","70-79","207"
"2021","50","80-89","120"
"2021","50","90-99","35"
"2021","49","#null","2"
"2021","49","0-9","1088"
"2021","49","10-19","1252"
"2021","49","100+","5"
"2021","49","20-29","821"
"2021","49","30-39","1107"
"2021","49","40-49","1242"
"2021","49","50-59","806"
"2021","49","60-69","516"
"2021","49","70-79","284"
"2021","49","80-89","137"
"2021","49","90-99","56"
"2021","48","#null","2"
"2021","48","0-9","896"
"2021","48","10-19","1472"
"2021","48","100+","3"
"2021","48","20-29","800"
"2021","48","30-39","1102"
"2021","48","40-49","1238"
"2021","48","50-59","864"
"2021","48","60-69","508"
"2021","48","70-79","350"
"2021","48","80-89","205"
"2021","48","90-99","67"
"2021","47","#null","2"
