"datum","personen_hospitalisiert","auf_normaler_bettenstation","auf_intensivpflegestation_unbeatmet","auf_intensivpflegestation_beatmet","auf_intensivpflegestation_total","vac_prozent_personen_hospitalisiert","vac_prozent_auf_normaler_bettenstation","vac_prozent_auf_intensivpflegestation_unbeatmet","vac_prozent_auf_intensivpflegestation_beatmet","vac_prozent_auf_intensivpflegestation_total"
"25.01.2022","188","161","6","21","27","33.5","35.4","33.3","19","22.2"
"18.01.2022","164","145","3","16","19","35.4","37.2","33.3","18.8","21.1"
"11.01.2022","204","170","12","22","34","36.3","38.2","33.3","22.7","26.5"
"04.01.2022","225","188","7","30","37","34.2","35.1","85.7","16.7","29.7"
"28.12.2021","189","154","8","27","35","34.9","37","37.5","22.2","25.7"
"21.12.2021","233","195","6","32","38","33.5","35.9","16.7","21.9","21.1"
"14.12.2021","225","190","5","30","35","41.8","45.8","20","20","20"
"07.12.2021","225","190","7","28","35","37.3","40.5","42.9","14.3","20"
"30.11.2021","176","150","4","22","26","39.8","42.7","25","22.7","23.1"
"23.11.2021","154","125","6","23","29","31.8","34.4","16.7","21.7","20.7"
"16.11.2021","98","85","4","9","13","25.5","29.4","0","0","0"
"09.11.2021","69","54","4","11","15","29","35.2","0","9.1","6.7"
"02.11.2021","43","37","1","5","6","41.9","45.9","0","20","16.7"
"26.10.2021","32","26","0","6","6","28.1","30.8","0","16.7","16.7"
"19.10.2021","41","30","3","8","11","24.4","26.7","33.3","12.5","18.2"
"12.10.2021","35","22","4","9","13","11.4","18.2","0","0","0"
"05.10.2021","45","28","3","14","17","22.2","35.7","0","0","0"
"28.09.2021","50","35","0","15","15","14","17.1","0","6.7","6.7"
"21.09.2021","72","53","2","17","19","18.1","24.5","0","0","0"
"14.09.2021","89","59","6","24","30","10.1","13.6","0","4.2","3.3"
"07.09.2021","90","51","6","33","39","6.7","7.8","0","6.1","5.1"
"31.08.2021","99","74","3","22","25","13.1","16.2","33.3","0","4"
"24.08.2021","112","85","4","23","27","6.3","8.2","0","0","0"
"17.08.2021","74","63","0","11","11","0","0","0","0","0"
"10.08.2021","29","23","2","4","6","0","0","0","0","0"
"03.08.2021","21","16","1","4","5","0","0","0","0","0"
"27.07.2021","13","9","2","2","4","0","0","0","0","0"
"20.07.2021","10","8","0","2","2","0","0","0","0","0"
"13.07.2021","5","2","0","3","3","0","0","0","0","0"
"06.07.2021","4","2","0","2","2","0","0","0","0","0"
"01.07.2021","8","4","1","3","4","0","0","0","0","0"
"29.06.2021","8","4","1","3","4","0","0","0","0","0"
"22.06.2021","14","6","3","5","8","0","0","0","0","0"
"15.06.2021","20","12","2","6","8","0","0","0","0","0"
"08.06.2021","33","21","2","10","12","0","0","0","0","0"
"01.06.2021","46","30","1","15","16","0","0","0","0","0"
"25.05.2021","61","40","2","19","21","0","0","0","0","0"
"18.05.2021","79","49","5","25","30","0","0","0","0","0"
"11.05.2021","76","48","5","23","28","0","0","0","0","0"
"04.05.2021","118","84","5","29","34","0","0","0","0","0"
"27.04.2021","122","92","7","23","30","0","0","0","0","0"
"20.04.2021","108","73","4","31","35","0","0","0","0","0"
"13.04.2021","96","74","2","20","22","0","0","0","0","0"
"06.04.2021","89","70","1","18","19","0","0","0","0","0"
"30.03.2021","89","61","6","22","28","0","0","0","0","0"
"23.03.2021","71","50","3","18","21","0","0","0","0","0"
"16.03.2021","84","61","4","19","23","0","0","0","0","0"
"09.03.2021","71","49","4","18","22","0","0","0","0","0"
"07.03.2021","74","52","4","18","22","0","0","0","0","0"
"04.03.2021","62","45","3","14","17","0","0","0","0","0"
"02.03.2021","74","59","3","12","15","0","0","0","0","0"
"28.02.2021","71","54","4","13","17","0","0","0","0","0"
"25.02.2021","75","52","8","15","23","0","0","0","0","0"
"23.02.2021","73","56","5","12","17","0","0","0","0","0"
"21.02.2021","95","81","3","11","14","0","0","0","0","0"
"18.02.2021","105","86","4","15","19","0","0","0","0","0"
"17.02.2021","111","89","7","15","22","0","0","0","0","0"
"16.02.2021","106","83","7","16","23","0","0","0","0","0"
"15.02.2021","109","90","3","16","19","0","0","0","0","0"
"14.02.2021","110","89","5","16","21","0","0","0","0","0"
"11.02.2021","126","102","6","18","24","0","0","0","0","0"
