"datum","total_laborbestaetigte_faelle","total_todesfaelle"
"27.02.2020","1","0"
"29.02.2020","2","0"
"02.03.2020","6","0"
"03.03.2020","7","0"
"04.03.2020","14","0"
"05.03.2020","19","0"
"06.03.2020","28","0"
"08.03.2020","30","0"
"09.03.2020","34","0"
"10.03.2020","41","0"
"11.03.2020","57","0"
"12.03.2020","80","0"
"13.03.2020","90","0"
"14.03.2020","110","0"
"15.03.2020","130","0"
"16.03.2020","198","1"
"17.03.2020","252","2"
"18.03.2020","314","2"
"19.03.2020","366","2"
"20.03.2020","427","3"
"21.03.2020","469","5"
"22.03.2020","504","6"
"23.03.2020","574","6"
"24.03.2020","628","6"
"25.03.2020","686","7"
"26.03.2020","740","9"
"27.03.2020","818","9"
"28.03.2020","842","13"
"29.03.2020","862","15"
"30.03.2020","935","20"
"31.03.2020","1008","21"
"01.04.2020","1065","24"
"02.04.2020","1108","26"
"03.04.2020","1171","26"
"04.04.2020","1211","29"
"05.04.2020","1225","33"
"06.04.2020","1296","33"
"07.04.2020","1348","37"
"08.04.2020","1407","42"
"09.04.2020","1428","46"
"10.04.2020","1445","52"
"11.04.2020","1465","55"
"12.04.2020","1476","58"
"13.04.2020","1493","64"
"14.04.2020","1529","66"
"15.04.2020","1559","68"
"16.04.2020","1581","69"
"17.04.2020","1599","70"
"18.04.2020","1607","74"
"19.04.2020","1617","74"
"20.04.2020","1650","78"
"21.04.2020","1669","80"
"22.04.2020","1679","82"
"23.04.2020","1700","84"
"24.04.2020","1710","85"
"25.04.2020","1714","86"
"26.04.2020","1723","86"
"27.04.2020","1737","86"
"28.04.2020","1749","88"
"29.04.2020","1762","88"
"30.04.2020","1772","89"
"01.05.2020","1782","89"
"02.05.2020","1788","89"
"03.05.2020","1790","89"
"04.05.2020","1796","89"
"05.05.2020","1800","89"
"06.05.2020","1808","89"
"07.05.2020","1815","90"
"08.05.2020","1821","90"
"09.05.2020","1826","90"
"10.05.2020","1828","91"
"11.05.2020","1830","91"
"12.05.2020","1833","91"
"13.05.2020","1838","91"
"14.05.2020","1844","91"
"15.05.2020","1847","91"
"18.05.2020","1850","91"
"19.05.2020","1854","92"
"20.05.2020","1857","92"
"21.05.2020","1860","92"
"22.05.2020","1863","92"
"24.05.2020","1864","92"
"25.05.2020","1865","92"
"26.05.2020","1865","93"
"27.05.2020","1867","93"
"28.05.2020","1869","93"
"29.05.2020","1871","93"
"31.05.2020","1873","93"
"02.06.2020","1875","93"
"03.06.2020","1876","93"
"04.06.2020","1879","93"
"07.06.2020","1880","93"
"08.06.2020","1885","93"
"10.06.2020","1891","93"
"11.06.2020","1893","93"
"12.06.2020","1894","93"
"13.06.2020","1895","93"
"15.06.2020","1897","93"
"19.06.2020","1898","93"
"20.06.2020","1902","93"
"21.06.2020","1904","93"
"22.06.2020","1907","93"
"23.06.2020","1910","93"
"26.06.2020","1915","93"
"27.06.2020","1916","93"
"28.06.2020","1917","93"
"29.06.2020","1922","93"
"30.06.2020","1929","93"
"01.07.2020","1933","93"
"02.07.2020","1936","93"
"03.07.2020","1943","93"
"04.07.2020","1944","93"
"05.07.2020","1946","93"
"06.07.2020","1951","93"
"07.07.2020","1957","93"
"08.07.2020","1961","93"
"09.07.2020","1970","93"
"10.07.2020","1978","93"
"11.07.2020","1984","93"
"12.07.2020","1985","93"
"13.07.2020","1996","93"
"14.07.2020","2005","93"
"15.07.2020","2013","93"
"16.07.2020","2022","93"
"17.07.2020","2033","93"
"18.07.2020","2036","93"
"19.07.2020","2039","93"
"20.07.2020","2046","93"
"21.07.2020","2047","93"
"22.07.2020","2050","93"
"23.07.2020","2052","93"
"24.07.2020","2065","93"
"25.07.2020","2070","93"
"26.07.2020","2073","93"
"27.07.2020","2079","93"
"28.07.2020","2085","93"
"29.07.2020","2098","93"
"30.07.2020","2110","93"
"31.07.2020","2126","93"
"01.08.2020","2132","93"
"02.08.2020","2136","93"
"03.08.2020","2150","93"
"04.08.2020","2161","93"
"05.08.2020","2175","93"
"06.08.2020","2179","93"
"07.08.2020","2189","94"
"08.08.2020","2194","94"
"09.08.2020","2200","94"
"10.08.2020","2218","94"
"11.08.2020","2244","94"
"12.08.2020","2268","94"
"13.08.2020","2282","94"
"14.08.2020","2299","94"
"15.08.2020","2305","94"
"16.08.2020","2309","94"
"17.08.2020","2323","94"
"18.08.2020","2335","94"
"19.08.2020","2351","94"
"20.08.2020","2368","94"
"21.08.2020","2385","94"
"22.08.2020","2398","95"
"23.08.2020","2407","95"
"24.08.2020","2433","95"
"25.08.2020","2451","95"
"26.08.2020","2470","95"
"27.08.2020","2491","95"
"28.08.2020","2516","95"
"29.08.2020","2523","95"
"30.08.2020","2530","95"
"31.08.2020","2553","95"
"01.09.2020","2571","95"
"02.09.2020","2600","95"
"03.09.2020","2636","95"
"04.09.2020","2663","95"
"05.09.2020","2673","95"
"06.09.2020","2684","95"
"07.09.2020","2712","95"
"08.09.2020","2734","95"
"09.09.2020","2771","95"
"10.09.2020","2799","95"
"11.09.2020","2841","95"
"12.09.2020","2861","95"
"13.09.2020","2876","95"
"14.09.2020","2936","95"
"15.09.2020","2987","95"
"16.09.2020","3044","95"
"17.09.2020","3087","96"
"18.09.2020","3145","96"
"19.09.2020","3173","96"
"20.09.2020","3191","96"
"21.09.2020","3242","97"
"22.09.2020","3277","97"
"23.09.2020","3314","97"
"24.09.2020","3350","97"
"25.09.2020","3386","97"
"26.09.2020","3411","97"
"27.09.2020","3428","97"
"28.09.2020","3477","98"
"29.09.2020","3522","98"
"30.09.2020","3581","98"
"01.10.2020","3640","98"
"02.10.2020","3717","98"
"03.10.2020","3747","98"
"04.10.2020","3774","98"
"05.10.2020","3884","99"
"06.10.2020","3981","99"
"07.10.2020","4081","99"
"08.10.2020","4206","99"
"09.10.2020","4345","99"
"10.10.2020","4437","99"
"11.10.2020","4514","99"
"12.10.2020","4791","99"
"13.10.2020","5032","99"
"14.10.2020","5308","99"
"15.10.2020","5639","100"
"16.10.2020","5940","100"
"17.10.2020","6150","101"
"18.10.2020","6308","101"
"19.10.2020","6871","102"
"20.10.2020","7435","103"
"21.10.2020","8064","104"
"22.10.2020","8689","106"
"23.10.2020","9333","106"
"24.10.2020","9740","111"
"25.10.2020","10035","116"
"26.10.2020","11034","118"
"27.10.2020","11916","122"
"28.10.2020","12731","129"
"29.10.2020","13524","136"
"30.10.2020","14337","144"
"31.10.2020","14736","153"
"01.11.2020","15035","161"
"02.11.2020","16049","169"
"03.11.2020","16885","176"
"04.11.2020","17660","186"
"05.11.2020","18300","195"
"06.11.2020","18922","204"
"07.11.2020","19289","216"
"08.11.2020","19506","220"
"09.11.2020","20244","231"
"10.11.2020","20856","238"
"11.11.2020","21383","251"
"12.11.2020","21915","267"
"13.11.2020","22410","275"
"14.11.2020","22731","283"
"15.11.2020","22926","297"
"16.11.2020","23522","305"
"17.11.2020","24025","319"
"18.11.2020","24470","325"
"19.11.2020","24960","333"
"20.11.2020","25363","341"
"21.11.2020","25638","348"
"22.11.2020","25835","360"
"23.11.2020","26445","371"
"24.11.2020","26905","382"
"25.11.2020","27368","392"
"26.11.2020","27803","406"
"27.11.2020","28217","418"
"28.11.2020","28478","425"
"29.11.2020","28665","434"
"30.11.2020","29188","446"
"01.12.2020","29603","455"
"02.12.2020","30108","464"
"03.12.2020","30538","471"
"04.12.2020","31066","484"
"05.12.2020","31397","496"
"06.12.2020","31645","502"
"07.12.2020","32246","513"
"08.12.2020","32850","521"
"09.12.2020","33460","534"
"10.12.2020","33972","541"
"11.12.2020","34515","547"
"12.12.2020","34863","552"
"13.12.2020","35122","560"
"14.12.2020","35818","575"
"15.12.2020","36424","584"
"16.12.2020","36990","592"
"17.12.2020","37530","607"
"18.12.2020","38025","620"
"19.12.2020","38364","628"
"20.12.2020","38599","632"
"21.12.2020","39216","644"
"22.12.2020","39739","650"
"23.12.2020","40249","656"
"24.12.2020","40574","670"
"25.12.2020","40814","677"
"26.12.2020","41070","687"
"27.12.2020","41315","697"
"28.12.2020","41872","714"
"29.12.2020","42349","726"
"30.12.2020","42804","741"
